logFC	logCPM	LR	PValue	FDR
HMPREF1120_02938	-2.20255589401696	6.53135850641517	151.704976420314	7.3503163832337e-35	3.79852315079744e-33
HMPREF1120_02143	-3.20604506324977	5.35331220282985	150.77902774819	1.17134721898778e-34	6.0181368454622e-33
HMPREF1120_00445	2.18680874889471	9.19109020804338	149.222214886786	2.56429450508572e-34	1.30986534921633e-32
HMPREF1120_05737	-2.31098179195523	4.55776677224187	147.781352530653	5.29573986696326e-34	2.68956627611232e-32
HMPREF1120_06251	-1.66255508728237	6.77019013811961	147.687982078273	5.55056537553893e-34	2.802876927065e-32
HMPREF1120_07168	-2.75708602241369	8.46371783133223	146.570574402808	9.74107095551184e-34	4.89101386556012e-32
HMPREF1120_08352	-2.19017925742213	9.01263180238713	146.485344784337	1.01680745449163e-33	5.07656919510877e-32
HMPREF1120_03814	-2.16014179175154	6.22795458991918	146.181095658428	1.18508934216848e-33	5.88350253749598e-32
HMPREF1120_07116	2.09626909645221	9.31320291784589	145.872901023674	1.38397081280987e-33	6.8324860741904e-32
HMPREF1120_06587	-1.92247987006635	7.99040385280103	145.561170616805	1.61911129177225e-33	7.94893693632854e-32
HMPREF1120_04040	-2.27718512909815	5.92850568748656	144.880402548132	2.28090920274214e-33	1.11361296268687e-31
HMPREF1120_00788	2.87345791949059	4.14488466435012	144.659847938553	2.54874990301878e-33	1.23754411499873e-31
HMPREF1120_04103	1.80049358703115	7.27756604239328	144.172040728117	3.25819346445137e-33	1.57336916094846e-31
HMPREF1120_06062	-2.46055736437615	4.93678345303895	144.116822220584	3.35003606852407e-33	1.60892764877974e-31
HMPREF1120_06204	1.71977826891508	6.4850379641102	144.028109693824	3.50303984207682e-33	1.67331692348286e-31
HMPREF1120_02743	2.56990933982231	10.1498187367736	144.006337148439	3.54164732719234e-33	1.68266330270961e-31
HMPREF1120_03850	-1.74062281074931	5.98438793706929	143.360726396212	4.90185522252367e-33	2.31645425676159e-31
HMPREF1120_00198	-1.69540081977167	5.45249809433793	143.307326765568	5.03542196786053e-33	2.36691616648849e-31
HMPREF1120_01467	4.05954075926237	8.76287105559222	142.143581879391	9.04662205857641e-33	4.22989413394919e-31
HMPREF1120_03626	-1.96712064660032	8.02425977472506	142.118769359584	9.16034457165082e-33	4.26052447261465e-31
HMPREF1120_00301	-2.60297207904231	9.50916577056141	141.679673205336	1.14267604017009e-32	5.28682102983407e-31
HMPREF1120_08441	-2.09154193534554	9.24150824945122	141.295575606713	1.38646941580706e-32	6.38136991014949e-31
HMPREF1120_08196	-1.80369298493681	5.92764960203247	140.817774181058	1.76355505218472e-32	8.07488911717946e-31
HMPREF1120_04114	-2.9275982346017	4.74282880755633	140.629269626094	1.93913992499285e-32	8.83308222534113e-31
HMPREF1120_06809	1.99338082656733	6.26768770447272	140.155277723536	2.46183093115268e-32	1.11565127890237e-30
HMPREF1120_05302	-2.21526123098947	4.78951007072204	139.939577287514	2.74426984642571e-32	1.23730166494204e-30
HMPREF1120_02288	2.21951735735278	5.10714754348398	139.582028449423	3.28560540426453e-32	1.47385253591298e-30
HMPREF1120_08650	2.22197850444332	7.52168492848467	139.206684367256	3.96914477940222e-32	1.77148143513017e-30
HMPREF1120_08544	-2.51955293713106	7.56809109247426	137.216593332079	1.08124161932695e-31	4.80147346230768e-30
HMPREF1120_06382	-1.51792341728167	6.69625489506783	136.558474358109	1.50612403025338e-31	6.65480902767455e-30
HMPREF1120_02303	-2.15360003670128	6.45859370663483	136.421013870222	1.61408165684326e-31	7.0963381102109e-30
HMPREF1120_02400	1.9542205308199	7.67759691849477	135.647577155509	2.38282554968328e-31	1.042427197156e-29
